"Gene Name"	"Array data file names"	"Composite Element Ref"	"Antibody.validation.status"	"Antibody.Origin"	"Antibody.Source..Company."	"Catalog.Number"	"Protein.function.and.regulatory.pathways"
"CHEK1"	"Chk1_pS345-R-C_GBL11066146.txt"	"Chk1_pS345-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2348"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"CHEK2"	"Chk2-M-E_GBL11066214.txt"	"Chk2-M-E"	"Under Evaluation"	"Mouse"	"CST"	"3440"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"CHEK2"	"Chk2_pT68-R-E_GBL11066209.txt"	"Chk2_pT68-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"2197"	"Kinase acts downstream of ATM/ATR involving in DNA damage checkpoint control, embryonic development, and tumor suppression"
"BIRC2 "	"cIAP-R-V_GBL11066151.txt"	"cIAP-R-V"	"Use with Caution"	"Rabbit"	"Millipore"	"07-759"	"Apoptosis suppressor"
"JUN"	"c-Jun_pS73-R-V_GBL11066066.txt"	"c-Jun_pS73-R-V"	"Validated"	"Rabbit"	"CST"	"9164"	"MAPK pathway, A component of the transcription factor activator protein-1 (AP-1), Regulates cell proliferation, differentiation, and apoptosis, as well as transformation, invasion and metastasis"
"KIT"	"c-Kit-R-V_GBL11066067.txt"	"c-Kit-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1522"	"Tyrosine Kinase Receptor"
"CLDN7"	"Claudin-7-R-V_GBL11066138.txt"	"Claudin-7-R-V"	"Validated"	"Rabbit"	"Novus"	"NB100-91714"	"Claudins  make up tight junction strands."
"MET"	"c-Met-M-E_GBL11066251.txt"	"c-Met-M-E"	"**Used for QC**"	"Mouse"	"CST"	"3127"	"Met, a high affinity tyrosine kinase receptor for hepatocyte growth factor (HGF, also known as scatter factor) is a disulfide-linked heterodimer made of 45 kDa ?- and 145 kDa ?-subunits. The ?-subunit and the amino-terminal region of the ?-subunit form the extracellular domain. The remainder of the ?-chain spans the plasma membrane and contains a cytoplasmic region with tyrosine kinase activity. Interaction of Met with HGF results in autophosphorylation at multiple tyrosines, which recruit several downstream signaling components, including Gab1, c-Cbl, and PI3 kinase. These fundamental events are important for all of the biological functions involving Met kinase activity. The addition of a phosphate at cytoplasmic Tyr1003 is essential for Met protein ubiquitination and degradation. Phosphorylation at Tyr1234/1235 in the Met kinase domain is critical for kinase activation. Phosphorylation at Tyr1349 in the Met cytoplasmic domain provides a direct binding site for Gab1. Research studies have shown that altered Met levels and/or tyrosine kinase activities are found in several types of tumors, including renal, colon, and breast. Thus, investigators have concluded that Met is an attractive potential cancer therapeutic and diagnostic target."
"MET"	"c-Met_pY1235-R-V_GBL11066121.txt"	"c-Met_pY1235-R-V"	"Validated"	"Rabbit"	"CST"	"3129"	"Tyrosine kinase receptor for hepatocyte growth factor"
"MYC"	"c-Myc-R-C_GBL11066248.txt"	"c-Myc-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9402"	"Members of the Myc/Max/Mad network function as transcriptional regulators invlolving in proliferation, differentiation and apoptosis"
"COG3"	"COG3-R-V_GBL11066289.txt"	"COG3-R-V"	""	""	""	""	""
"COL6A1"	"Collagen_VI-R-V_GBL11066068.txt"	"Collagen_VI-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"SC-20649"	"Collagens are fibrous, extracellular matrix proteins play a role in cell adhesion, important for maintaining normal tissue architecture and function."
"RAF1"	"C-Raf-R-V_GBL11066133.txt"	"C-Raf-R-V"	"Validated"	"Rabbit"	"Millipore"	"05-739"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"RAF1"	"C-Raf_pS338-R-E_GBL11066069.txt"	"C-Raf_pS338-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"9427"	"One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway "
"CCNB1"	"Cyclin_B1-R-V_GBL11066070.txt"	"Cyclin_B1-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1495-1"	"Cyclin B1 regulates mitosis. Cyclin B1 levels rise during S phase and G2, and peak at mitosis. "
"CCND1"	"Cyclin_D1-R-V_GBL11066071.txt"	"Cyclin_D1-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"SC-718"	"Cyclin D corresponds to a putative human oncogene. It regulates phosphorylation of the retinoblastoma gene product, thereby activating E2F transcription factors"
"CCNE1"	"Cyclin_E1-M-V_GBL11066215.txt"	"Cyclin_E1-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"SC-247"	"Cyclin E has been found to be associated with the transcription factor E2F in a temporally regulated manner. The cyclin E/E2F complex is detected primarily during the G1 phase of the cell cycle and decreases as cells enter S phase. E2F is known to be a critical transcription factor for expression of several S phase specific proteins."
"CCNE2"	"Cyclin_E2-R-C_GBL11066072.txt"	"Cyclin_E2-R-C"	"Use with Caution"	"Rabbit"	"Epitomics"	"1142"	"Controls cell cycle at late G1 and early S phase"
"DIRAS3"	"DIRAS3-M-E_GBL11066273.txt"	"DIRAS3-M-E"	"Under Evaluation"	"Mouse"	"Dr. Robert C Bast Jr."	"Customer made"	"A member of the ras superfamily, Expressed in normal ovarian and breast epithelial cells, but not in ovarian and breast cancers."
"PARK7"	"DJ-1-R-E_GBL11066144.txt"	"DJ-1-R-E"	"Validated"	"Rabbit"	"Abcam"	"ab76008"	"May involved in regulation of PTEN expression"
"GUSP4"	"DUSP4-R-V_GBL11066293.txt"	"DUSP4-R-V"	""	""	""	""	""
"DVL3"	"Dvl3-R-V_GBL11066153.txt"	"Dvl3-R-V"	"Validated"	"Rabbit"	"CST"	"3218"	"Intermediates of Wnt signaling pathways"
"CDH1"	"E-Cadherin-R-V_GBL11066175.txt"	"E-Cadherin-R-V"	"Validated"	"Rabbit"	"CST"	"4065"	"A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. "
"EEF2"	"eEF2-R-C_GBL11066163.txt"	"eEF2-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2332"	"Eukaryotic elongation factor 2 (eEF2) catalyzes the translocation of peptidyl-tRNA from the A site to the P site on the ribosome. Insulin induces rapid dephosphorylation of eEF2 through mTOR signaling."
"EEF2K"	"eEF2K-R-V_GBL11066164.txt"	"eEF2K-R-V"	"Validated"	"Rabbit"	"CST"	"3692"	"Eukaryotic elongation factor 2 kinase (eEF2k) phosphorylates and inactivates eEF2, resulting in the inhibition of peptide-chain elongation.p90RSK and p70 S6 kinase phosphorylate and inactivate eEF2k."
"EGFR"	"EGFR-R-V_GBL11066177.txt"	"EGFR-R-V"	"Validated"	"Rabbit"	"CST"	"2232"	"Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor"
"EGFR"	"EGFR_pY1068-R-C_GBL11066073.txt"	"EGFR_pY1068-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2234"	"Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor"
"EGFR"	"EGFR_pY1173-R-V_GBL11066074.txt"	"EGFR_pY1173-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1124"	"Epidermal growth factor receptor (EGFR), Tyrosine Kinase Receptor"
"EIF4E"	"eIF4E-R-V_GBL11066120.txt"	"eIF4E-R-V"	"Valid"	"Rabbit"	"CST"	"9742"	"Eukaryotic initiation factor 4E (eIF4E) binds to the mRNA cap structure to mediate the initiation of translation (1,2). eIF4E interacts with eIF4G, a scaffold protein that promotes assembly of eIF4E and eIF4A into the eIF4F complex (2). eIF4B is thought to assist the eIF4F complex in translation initiation. Upon activation by mitogenic and/or stress stimuli mediated by Erk and p38 MAPK, Mnk1 phosphorylates eIF4E at Ser209 in vivo (3,4). Two Erk and p38 MAPK phosphorylation sites in mouse Mnk1 (Thr197 and Thr202) are essential for Mnk1 kinase activity (3). The carboxy-terminal region of eIF4G also contains serum-stimulated phosphorylation sites, including Ser1108, Ser1148, and Ser1192 (5). Phosphorylation at these sites is blocked by the PI3 kinase inhibitor LY294002 and by the FRAP/mTOR inhibitor rapamycin."
"EIF4G1"	"eIF4G-R-C_GBL11066180.txt"	"eIF4G-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2498"	"Translation initiation factor"
"EPPK1"	"EPPK1-M-E_GBL11066228.txt"	"EPPK1-M-E"	"Use with Caution"	"Mouse"	"BD Pharmingen"	"556347"	"Transfection Factor"
"ESR1"	"ER-alpha-R-V_GBL11066076.txt"	"ER-alpha-R-V"	"Validated"	"Rabbit"	"Lab Vision"	"RM-9101-S"	"Estrogen receptor, Transcription Factor"
"ESR1"	"ER-alpha_pS118-R-V_GBL11066077.txt"	"ER-alpha_pS118-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1091-1"	"Estrogen receptor, Transcription Factor"
"ERCC1"	"ERCC1-M-V_GBL11066272.txt"	"ERCC1-M-V"	"**Used for QC**"	"Mouse"	"Lab Vision"	"MS-671-PO"	"Involved in DNA repaire"
"ERCC5"	"ERCC5-R-C_GBL11066299.txt"	"ERCC5-R-C"	""	""	""	""	""
"MAPK1"	"ERK2-R-E_GBL11066078.txt"	"ERK2-R-E"	"Under Evaluation"	"Rabbit"	"Santa Cruz"	"sc-154"	"Mitogen-activated protein kinase (MAPK) signaling pathways involve two closely related MAP kinases, known as extracellular-signal-related kinase 1 (ERK 1, p44) and 2 (ERK 2, p42)."
"ETS1"	"ETS-1-R-V_GBL11066206.txt"	"ETS-1-R-V"	"Validated"	"Rabbit"	"BethYl"	"A303-501A"	"Ets-1 is a member of the ETS family of transcription factors"
"FASN"	"FASN-R-V_GBL11066203.txt"	"FASN-R-V"	"Validated"	"Rabbit"	"CST"	"3180"	"Fatty acid synthase (FASN) catalyzes the synthesis of long-chain fatty acids from acetyl-CoA and malonyl-CoA. Indicated as a poor prognosis in breast and prostate cancer. "
"FN1"	"Fibronectin-R-V_GBL11066079.txt"	"Fibronectin-R-V"	"Use with Caution"	"Rabbit"	"Epitomics"	"1574-1"	"Involved in cell adhesion, cell motility, opsonization, wound healing, and maintenance of cell shape"
"FOXM1"	"FoxM1-R-V_GBL11066179.txt"	"FoxM1-R-V"	"Validated"	"Rabbit"	"CST"	"5436"	"A forkhead box family transcription factor that regulates a number of genes throughout the cell cycle to help control DNA replication, mitosis and cell proliferation"
"FOXO3"	"FOXO3a-R-C_GBL11066178.txt"	"FOXO3a-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9467"	"Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway"
"FOXO3"	"FOXO3a_pS318_S321-R-C_GBL11066080.txt"	"FOXO3a_pS318_S321-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9465"	"Transcription Factor, involved in tyrosin kinase receptor and PI3K/AKT pathway"
"G6PD"	"G6PD-M-V_GBL11066266.txt"	"G6PD-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-373887"	"Plays an important role in the pentose phosphate pathway"
"GAB2"	"GAB2-R-V_GBL11066154.txt"	"GAB2-R-V"	"Validated"	"Rabbit"	"CST"	"3239"	"Adaptor proteins recruited by a wide variety of receptor tyrosine kinases (RTKs) such as EGFR, HGFR, insulin receptor, cytokine receptor and B cell antigen receptors"
"GAPDH"	"GAPDH-M-C_GBL11066217.txt"	"GAPDH-M-C"	"Use with Caution"	"Mouse"	"Ambion"	"AM4300"	"Glyceraldehyde 3-phosphate dehydrogenase"
"GATA3"	"GATA3-M-V_GBL11066230.txt"	"GATA3-M-V"	"Validated"	"Mouse"	"BD Biosciences"	"558686"	"Transcription factor"
"GSK3A GSK3B"	"GSK3-alpha-beta-M-V_GBL11066218.txt"	"GSK3-alpha-beta-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"SC-7291"	"An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling"
"GSK3A GSK3B"	"GSK3-alpha-beta_pS21_S9-R-V_GBL11066081.txt"	"GSK3-alpha-beta_pS21_S9-R-V"	"Validated"	"Rabbit"	"CST"	"9331"	"An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling"
"GSK3A GSK3B"	"GSK3_pS9-R-V_GBL11066171.txt"	"GSK3_pS9-R-V"	"Validated"	"Rabbit"	"CST"	"9336"	"An enzyme that regulates glycogen synthesis in response to insulin, Also involved in Wnt signaling"
"ERBB2"	"HER2-M-V_GBL11066260.txt"	"HER2-M-V"	"Validated"	"Mouse"	"Lab Vision"	"MS-325-P1"	"The ErbB-2 proto-oncogene product"
"ERBB2"	"HER2_pY1248-R-C_GBL11066168.txt"	"HER2_pY1248-R-C"	"Use with Caution"	"Rabbit"	"Upstate (Millipore)"	"06-229"	"The ErbB-2 proto-oncogene product"
"ERBB3"	"HER3-R-V_GBL11066149.txt"	"HER3-R-V"	"Validated"	"Mouse"	"Lab Vision"	"MS-201-P1ABX"	"A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity"
"ERBB3"	"HER3_pY1289-R-C_GBL11066122.txt"	"HER3_pY1289-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4791"	"A member of the ErbB receptor protein tyrosine kinase family, but it lacks tyrosine kinase activity"
"NRG1"	"Heregulin-R-V_GBL11066143.txt"	"Heregulin-R-V"	"Validated"	"Rabbit"	"CST"	"2573"	"A soluble growth factor synthesized as a transmembrane precursor molecule involved in HRG-ErbB3/ErbB4 signaling to regulate cell proliferation, differentiation, invasion, and survival of both normal and malignant tissues"
"HSPA1A"	"HSP70-R-C_GBL11066082.txt"	"HSP70-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4872"	"A molecular chaperone expressed constitutively under normal conditions to maintain protein homeostasis and are induced upon environmental stress"
"IGFR1"	"IGF1R_pY1135_Y1136-R-V_GBL11066297.txt"	"IGF1R_pY1135_Y1136-R-V"	""	""	""	""	""
"IGFBP2"	"IGFBP2-R-V_GBL11066083.txt"	"IGFBP2-R-V"	"Validated"	"Rabbit"	"CST"	"3922"	"Insulin-like growth factor-binding proteins (IGFBPs), Tyrosine kinase receptor"
"INPP4B"	"INPP4B-R-V_GBL11066167.txt"	"INPP4B-R-V"	"Under Evaluation"	"Goat"	"Santa Cruz"	"SC-12318"	"The inositol polyphosphate 4-phosphatases catalyze the hydrolysis of phosphatidylinositol 3,4-bisphosphate, inositol 1,3,4-trisphosphate, and inositol 3,4-bisphosphate."
"IRF1"	"IRF-1-R-C_GBL11066304.txt"	"IRF-1-R-C"	""	""	""	""	""
"IRS1"	"IRS1-R-V_GBL11066132.txt"	"IRS1-R-V"	"Validated"	"Rabbit"	"Upstate (Millipore)"	"06-248"	"Insulin receptor substrate (IRS) molecules are key mediators in insulin signaling and play a central role in maintaining basic cellular functions such as growth, survival, and metabolism. Involves in PI3K pathway."
"COPS5"	"JAB1-M-C_GBL11066287.txt"	"JAB1-M-C"	"Use with Caution"	"Mouse"	"Santa Cruz"	"sc-13157"	"JAB1is the coactivator of Jun, (designated as Jun-activation domain-binding protein), interacts with c-Jun and Jun D, but not with Jun B or v-Jun. This interaction enhances the transactivating ability of Jun proteins by stabilizing their binding to the TRE."
"JAK2"	"Jak2-R-V_GBL11066302.txt"	"Jak2-R-V"	""	""	""	""	""
"MAPK9"	"JNK2-R-C_GBL11066084.txt"	"JNK2-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4672"	"The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)"
"MAPK8"	"JNK_pT183_pY185-R-V_GBL11066142.txt"	"JNK_pT183_pY185-R-V"	"Validated"	"Rabbit"	"CST"	"4668"	"The stress-activated protein kinase, Belong to MAPK pathway (MKK4/7)"
"XRCC5"	"Ku80-R-C_GBL11066147.txt"	"Ku80-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"2180"	"Functions as the DNA-binding regulatory component of DNA-dependent protein kinase (DNA-PK) involving in DNA repaire"
"LCK"	"Lck-R-V_GBL11066085.txt"	"Lck-R-V"	"Validated"	"Rabbit"	"CST"	"2752"	"A member of Src family of protein tyrosine kinases"
"STK11"	"LKB1-M-E_GBL11066219.txt"	"LKB1-M-E"	"Under Evaluation"	"Mouse"	"Abcam"	"ab15095"	"Essential role in G1 cell cycle arrest. Phosphorylates and activates members of the AMPK-related subfamily of protein kinases. Tumor suppressor."
"MAPK1 MAPK3"	"MAPK_pT202_Y204-R-V_GBL11066086.txt"	"MAPK_pT202_Y204-R-V"	"Validated"	"Rabbit"	"CST"	"4377"	"MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation"
"MAP2K1"	"MEK1-R-V_GBL11066087.txt"	"MEK1-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1235-1"	"MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation"
"MAP2K1"	"MEK1_pS217_S221-R-V_GBL11066169.txt"	"MEK1_pS217_S221-R-V"	"Validated"	"Rabbit"	"CST"	"9154"	"MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation"
"ERRFI1"	"MIG-6-M-V_GBL11066261.txt"	"MIG-6-M-V"	"Validated"	"Mouse"	"Sigma"	"WH0054206M1"	"ERRFI1 (MIG6) is a cytoplasmic protein whose expression is upregulated with cell growth "
"MRE11A"	"Mre11-R-C_GBL11066088.txt"	"Mre11-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4847"	"A central part of a multisubunit nuclease composed of Mre11, Rad50 and Nbs1 (MRN), Plays a critical role in sensing, processing and repairing DNA double strand breaks"
"MSH2"	"MSH2-M-V_GBL11066231.txt"	"MSH2-M-V"	"Validated"	"Mouse"	"CST"	"2850"	"MSH2 (MutS homologue 2) forms the hMutS-_ dimer with MSH6 and is an essential component of the mismatch DNA repair process. "
"MSH6"	"MSH6-R-C_GBL11066165.txt"	"MSH6-R-C"	"Use with Caution"	"Rabbit"	"Novus Biologicals"	"22030002"	"MSH6 is a mismatch-repair protein. It forms the hMutS-_ dimer with MSH2 and is an essential component of the mismatch DNA repair process. It plays a role in tumor suppression."
"MTOR"	"mTOR-R-V_GBL11066089.txt"	"mTOR-R-V"	"Validated"	"Rabbit"	"CST"	"2983"	"The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway"
"MTOR"	"mTOR_pS2448-R-C_GBL11066090.txt"	"mTOR_pS2448-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2971"	"The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway"
"MYH11"	"MYH11-R-V_GBL11066198.txt"	"MYH11-R-V"	"Validated"	"Rabbit"	"SDI / Novus"	"21370002"	"Myosin II forms bipolar filaments that interact with actin filaments to produce contraction."
"MYH9"	"Myosin-IIa_pS1943-R-V_GBL11066204.txt"	"Myosin-IIa_pS1943-R-V"	"Validated"	"Rabbit"	"CST"	"5026"	"Non muscle myosin is an actin-based motor protein essential to cell motility, cell division, migration, adhesion, and polarity"
"CDH2"	"N-Cadherin-R-V_GBL11066091.txt"	"N-Cadherin-R-V"	"Validated"	"Rabbit"	"CST"	"4061"	"A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. "
"NDRG1"	"NDRG1_pT346-R-V_GBL11066182.txt"	"NDRG1_pT346-R-V"	"Validated"	"Rabbit"	"CST"	"3217"	"A member of the NDRG family functions in growth, differentiation, and cell survival "
"NF2"	"NF2-R-C_GBL11066161.txt"	"NF2-R-C"	"Use with Caution"	"Rabbit"	"SDI"	"2271.00.02"	"Neurofibromin 2 (NF2) is a tumor suppressor gene encoding the protein Merlin to provide a link between the actin cytoskeleten and membrane associated proteins, playing a role in transduction of extracellular signals"
"NFKB1"	"NF-kB-p65_pS536-R-C_GBL11066092.txt"	"NF-kB-p65_pS536-R-C"	"Use with Caution"	"Rabbit"	"CST"	"3033"	"Transcription factors of the nuclear factor _ B (NF-_B)/Rel family play a pivotal role in inflammatory and immune responses "
"NOTCH1"	"Notch1-R-V_GBL11066166.txt"	"Notch1-R-V"	"Validated"	"Rabbit"	"CST"	"3268"	"A member of transmembrane receptor family that play important roles in development and the determination of cell fate "
"NRAS"	"N-Ras-M-V_GBL11066254.txt"	"N-Ras-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-31"	"The three Ras oncogenes, H-Ras, K-Ras and N-Ras, encode proteins with GTP/GDP binding and GTPase activity. Activates MAPK pathway."
"CDKN2A"	"p16_INK4a-R-V_GBL11066288.txt"	"p16_INK4a-R-V"	""	""	""	""	""
"CDKN1A"	"p21-R-V_GBL11066064.txt"	"p21-R-V"	"Validated"	"Rabbit"	"Santa Cruz"	"SC-397"	"p21 is a potent, tight-binding inhibitor of Cdks and can inhibit the phosphorylation of Rb by cyclin A-Cdk 2, cyclin E-Cdk2, cyclin D1-Cdk4 and cyclin D2-Cdk4 complexes. Involves in p53 pathway and induces cell cycle arrest."
"CDKN1B"	"p27-R-V_GBL11066145.txt"	"p27-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1591-1"	"Regulates cell cycle arrest at G1 phase"
"CDKN1B"	"p27_pT157-R-C_GBL11066137.txt"	"p27_pT157-R-C"	"Use with Caution"	"Rabbit"	"R&D"	"AF1555"	"Regulates cell cycle arrest at G1 phase"
"CDKN1B"	"p27_pT198-R-V_GBL11066139.txt"	"p27_pT198-R-V"	"Validated"	"Rabbit"	"Abcam"	"ab64949"	"Involved in cell cycle arrest at G1 phase."
"MAPK14"	"p38_MAPK-R-V_GBL11066093.txt"	"p38_MAPK-R-V"	"Validated"	"Rabbit"	"CST"	"9212"	" A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK"
"MAPK14"	"p38_pT180_Y182-R-V_GBL11066094.txt"	"p38_pT180_Y182-R-V"	"Validated"	"Rabbit"	"CST"	"9211"	" A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK"
"TP53"	"p53-R-E_GBL11066244.txt"	"p53-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"9282"	"Tumor suppressor and Transcription Factor, Regulates cell cycle arrest and apoptosis and DNA repair "
"SQSTM1"	"p62-LCK-ligand-M-C_GBL11066267.txt"	"p62-LCK-ligand-M-C"	"Under Evaluation"	"Mouse"	"BD Transduction Lab"	"610833"	"p62 lck ligand (zeta-interacting protein (ZIP)) is a cytoplasmic protein that binds to the SH2 domain of lck. It interacts with PKC_.."
"RPS6KB1"	"p70S6K-R-V_GBL11066096.txt"	"p70S6K-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1494-1"	"Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways"
"RPS6KB1"	"p70S6K_pT389-R-V_GBL11066097.txt"	"p70S6K_pT389-R-V"	"Validated"	"Rabbit"	"CST"	"9205"	"Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways"
"RPS6KA1"	"p90RSK-R-C_GBL11066125.txt"	"p90RSK-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9347"	"The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling"
